event_time,user_host,sqlcommand
"2019-02-23 06:38:55.747240","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`products`"
"2019-02-23 06:38:55.777360","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`offices`"
"2019-02-23 06:38:55.827196","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`offices`"
"2019-02-23 06:38:55.877265","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`orders`"
"2019-02-23 06:38:55.927365","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`orders`"
"2019-02-23 06:38:55.977346","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`productlines`"
"2019-02-23 06:38:56.027263","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`productlines`"
"2019-02-23 06:38:56.077326","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`products`"
"2019-02-23 06:38:56.137366","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`products`"
"2019-02-23 06:38:57.955412","root[root] @  [82.102.20.168]","SHOW FULL TABLES FROM `db`"
"2019-02-23 06:38:57.981267","root[root] @  [82.102.20.168]","SHOW PROCEDURE STATUS WHERE Db='db'"
"2019-02-23 06:38:58.007481","root[root] @  [82.102.20.168]","SHOW FUNCTION STATUS WHERE Db='db'"
"2019-02-23 06:38:59.017337","root[root] @  [82.102.20.168]","SHOW FULL TABLES FROM `sys`"
"2019-02-23 06:38:59.047249","root[root] @  [82.102.20.168]","SHOW PROCEDURE STATUS WHERE Db='sys'"
"2019-02-23 06:38:59.109304","root[root] @  [82.102.20.168]","SHOW FUNCTION STATUS WHERE Db='sys'"
"2019-02-23 06:38:59.167169","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`sys_config`"
"2019-02-23 06:38:59.193189","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`host_summary`"
"2019-02-23 06:38:59.219325","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`host_summary_by_file_io`"
"2019-02-23 06:38:59.245129","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`host_summary_by_file_io_type`"
"2019-02-23 06:38:59.270623","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`host_summary_by_stages`"
"2019-02-23 06:38:59.297088","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`host_summary_by_statement_latency`"
"2019-02-23 06:38:59.323284","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`host_summary_by_statement_type`"
"2019-02-23 06:38:59.349142","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`innodb_buffer_stats_by_schema`"
"2019-02-23 06:38:59.375096","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`innodb_buffer_stats_by_table`"
"2019-02-23 06:38:59.401214","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`innodb_lock_waits`"
"2019-02-23 06:38:59.427183","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`io_by_thread_by_latency`"
"2019-02-23 06:38:59.469240","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`io_global_by_file_by_bytes`"
"2019-02-23 06:38:59.495125","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`io_global_by_file_by_latency`"
"2019-02-23 06:38:59.521113","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`io_global_by_wait_by_bytes`"
"2019-02-23 06:38:59.547147","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`io_global_by_wait_by_latency`"
"2019-02-23 06:38:59.573293","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`latest_file_io`"
"2019-02-23 06:38:59.599237","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`memory_by_host_by_current_bytes`"
"2019-02-23 06:38:59.625125","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`memory_by_thread_by_current_bytes`"
"2019-02-23 06:38:59.651067","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`memory_by_user_by_current_bytes`"
"2019-02-23 06:38:59.677262","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`memory_global_by_current_bytes`"
"2019-02-23 06:38:59.703104","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`memory_global_total`"
"2019-02-23 06:38:59.729241","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`metrics`"
"2019-02-23 06:38:59.755214","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`processlist`"
"2019-02-23 06:38:59.783176","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`ps_check_lost_instrumentation`"
"2019-02-23 06:38:59.809084","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_auto_increment_columns`"
"2019-02-23 06:38:59.835088","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_index_statistics`"
"2019-02-23 06:38:59.861114","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_object_overview`"
"2019-02-23 06:38:59.887236","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_redundant_indexes`"
"2019-02-23 06:38:59.914551","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_table_lock_waits`"
"2019-02-23 06:38:59.941159","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_table_statistics`"
"2019-02-23 06:38:59.967113","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_table_statistics_with_buffer`"
"2019-02-23 06:38:59.993227","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_tables_with_full_table_scans`"
"2019-02-23 06:39:00.019299","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_unused_indexes`"
"2019-02-23 06:39:00.047264","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`session`"
"2019-02-23 06:39:00.077216","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`session_ssl_status`"
"2019-02-23 06:39:00.102222","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`statement_analysis`"
"2019-02-23 06:39:00.127151","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`statements_with_errors_or_warnings`"
"2019-02-23 06:39:00.153137","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`statements_with_full_table_scans`"
"2019-02-23 06:39:00.179306","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`statements_with_runtimes_in_95th_percentile`"
"2019-02-23 06:39:00.204382","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`statements_with_sorting`"
"2019-02-23 06:39:00.233016","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`statements_with_temp_tables`"
"2019-02-23 06:39:00.261186","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`user_summary`"
"2019-02-23 06:39:00.287192","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`user_summary_by_file_io`"
"2019-02-23 06:39:00.314381","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`user_summary_by_file_io_type`"
"2019-02-23 06:39:00.341103","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`user_summary_by_stages`"
"2019-02-23 06:39:00.367247","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`user_summary_by_statement_latency`"
"2019-02-23 06:39:00.393095","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`user_summary_by_statement_type`"
"2019-02-23 06:39:00.427120","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`version`"
"2019-02-23 06:39:00.453246","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`wait_classes_global_by_avg_latency`"
"2019-02-23 06:39:00.478875","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`wait_classes_global_by_latency`"
"2019-02-23 06:39:00.505213","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`waits_by_host_by_latency`"
"2019-02-23 06:39:00.531055","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`waits_by_user_by_latency`"
"2019-02-23 06:39:00.557067","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`waits_global_by_latency`"
"2019-02-23 06:39:00.583191","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$host_summary`"
"2019-02-23 06:39:00.609490","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$host_summary_by_file_io`"
"2019-02-23 06:39:00.635209","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$host_summary_by_file_io_type`"
"2019-02-23 06:39:00.661233","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$host_summary_by_stages`"
"2019-02-23 06:39:00.687195","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$host_summary_by_statement_latency`"
"2019-02-23 06:39:00.697135","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`sys_config`"
"2019-02-23 06:39:00.714541","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$host_summary_by_statement_type`"
"2019-02-23 06:39:00.743148","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$innodb_buffer_stats_by_schema`"
"2019-02-23 06:39:00.749275","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `sys`.`sys_config`"
"2019-02-23 06:39:00.769173","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$innodb_buffer_stats_by_table`"
"2019-02-23 06:39:00.795225","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$innodb_lock_waits`"
"2019-02-23 06:39:00.823209","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$io_by_thread_by_latency`"
"2019-02-23 06:39:00.849302","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$io_global_by_file_by_bytes`"
"2019-02-23 06:39:00.875280","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$io_global_by_file_by_latency`"
"2019-02-23 06:39:00.901146","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$io_global_by_wait_by_bytes`"
"2019-02-23 06:39:00.927094","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$io_global_by_wait_by_latency`"
"2019-02-23 06:39:00.953150","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$latest_file_io`"
"2019-02-23 06:39:00.979186","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$memory_by_host_by_current_bytes`"
"2019-02-23 06:39:01.005085","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$memory_by_thread_by_current_bytes`"
"2019-02-23 06:39:01.031226","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$memory_by_user_by_current_bytes`"
"2019-02-23 06:39:01.057098","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$memory_global_by_current_bytes`"
"2019-02-23 06:39:01.083219","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$memory_global_total`"
"2019-02-23 06:39:01.110723","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$processlist`"
"2019-02-23 06:39:01.139172","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$ps_digest_95th_percentile_by_avg_us`"
"2019-02-23 06:39:01.165256","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$ps_digest_avg_latency_distribution`"
"2019-02-23 06:39:01.191266","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$ps_schema_table_statistics_io`"
"2019-02-23 06:39:01.219301","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$schema_flattened_keys`"
"2019-02-23 06:39:01.245196","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$schema_index_statistics`"
"2019-02-23 06:39:01.273006","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$schema_table_lock_waits`"
"2019-02-23 06:39:01.299197","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$schema_table_statistics`"
"2019-02-23 06:39:01.325274","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$schema_table_statistics_with_buffer`"
"2019-02-23 06:39:01.351215","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$schema_tables_with_full_table_scans`"
"2019-02-23 06:39:01.379179","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$session`"
"2019-02-23 06:39:01.407208","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$statement_analysis`"
"2019-02-23 06:39:01.433172","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$statements_with_errors_or_warnings`"
"2019-02-23 06:39:01.463254","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$statements_with_full_table_scans`"
"2019-02-23 06:39:01.489186","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$statements_with_runtimes_in_95th_percentile`"
"2019-02-23 06:39:01.515160","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$statements_with_sorting`"
"2019-02-23 06:39:01.543052","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$statements_with_temp_tables`"
"2019-02-23 06:39:01.575234","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$user_summary`"
"2019-02-23 06:39:01.601278","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$user_summary_by_file_io`"
"2019-02-23 06:39:01.627196","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$user_summary_by_file_io_type`"
"2019-02-23 06:39:01.653150","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$user_summary_by_stages`"
"2019-02-23 06:39:01.679150","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$user_summary_by_statement_latency`"
"2019-02-23 06:39:01.705261","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$user_summary_by_statement_type`"
"2019-02-23 06:39:01.731322","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$wait_classes_global_by_avg_latency`"
"2019-02-23 06:39:01.757155","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$wait_classes_global_by_latency`"
"2019-02-23 06:39:01.782521","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$waits_by_host_by_latency`"
"2019-02-23 06:39:01.809282","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$waits_by_user_by_latency`"
"2019-02-23 06:39:01.835300","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`x$waits_global_by_latency`"
"2019-02-23 06:39:02.739025","root[root] @  [82.102.20.168]","SELECT * FROM sys.sys_config
LIMIT 0, 1000"
"2019-02-23 06:39:02.809387","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_statements_current st JOIN performance_schema.threads thr ON thr.thread_id = st.thread_id WHERE thr.processlist_id = 22"
"2019-02-23 06:39:02.859379","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_stages_history_long st WHERE st.nesting_event_id = 453"
"2019-02-23 06:39:02.911333","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_waits_history_long st WHERE st.nesting_event_id = 453"
"2019-02-23 06:39:02.937244","root[root] @  [82.102.20.168]","SHOW INDEX FROM `sys`.`sys_config`"
"2019-02-23 06:39:09.431330","root[root] @  [82.102.20.168]","SHOW DATABASES"
"2019-02-23 06:39:09.565274","root[root] @  [82.102.20.168]","SHOW FULL TABLES FROM `classicmodels`"
"2019-02-23 06:39:09.591268","root[root] @  [82.102.20.168]","SHOW PROCEDURE STATUS WHERE Db='classicmodels'"
"2019-02-23 06:39:09.617355","root[root] @  [82.102.20.168]","SHOW FUNCTION STATUS WHERE Db='classicmodels'"
"2019-02-23 06:39:09.667123","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`customers`"
"2019-02-23 06:39:09.679367","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`customers`"
"2019-02-23 06:39:09.693128","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`employees`"
"2019-02-23 06:39:09.719064","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`offices`"
"2019-02-23 06:39:09.729138","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`customers`"
"2019-02-23 06:39:09.745173","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`orderdetails`"
"2019-02-23 06:39:09.773267","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`orders`"
"2019-02-23 06:39:09.779094","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`employees`"
"2019-02-23 06:39:09.799169","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`payments`"
"2019-02-23 06:39:09.825105","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`productlines`"
"2019-02-23 06:39:09.831134","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`employees`"
"2019-02-23 06:39:09.851185","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`products`"
"2019-02-23 06:39:09.881233","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`offices`"
"2019-02-23 06:39:09.931315","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`offices`"
"2019-02-23 06:39:09.983157","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`orders`"
"2019-02-23 06:39:10.033385","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`orders`"
"2019-02-23 06:39:10.093191","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`productlines`"
"2019-02-23 06:39:10.144060","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`productlines`"
"2019-02-23 06:39:10.194827","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`products`"
"2019-02-23 06:39:10.245366","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`products`"
"2019-02-23 06:39:10.295060","root[root] @  [82.102.20.168]","SHOW DATABASES"
"2019-02-23 06:39:10.345208","root[root] @  [82.102.20.168]","SHOW FULL TABLES FROM `db`"
"2019-02-23 06:39:10.370333","root[root] @  [82.102.20.168]","SHOW PROCEDURE STATUS WHERE Db='db'"
"2019-02-23 06:39:10.395207","root[root] @  [82.102.20.168]","SHOW FUNCTION STATUS WHERE Db='db'"
"2019-02-23 06:39:10.548548","root[root] @  [82.102.20.168]","SHOW FULL TABLES FROM `sys`"
"2019-02-23 06:39:10.575213","root[root] @  [82.102.20.168]","SHOW PROCEDURE STATUS WHERE Db='sys'"
"2019-02-23 06:39:10.614532","root[root] @  [82.102.20.168]","SHOW FUNCTION STATUS WHERE Db='sys'"
"2019-02-23 06:39:10.671180","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`sys_config`"
"2019-02-23 06:39:10.697013","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`host_summary`"
"2019-02-23 06:39:10.722220","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`host_summary_by_file_io`"
"2019-02-23 06:39:10.747007","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`host_summary_by_file_io_type`"
"2019-02-23 06:39:10.769170","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`sys_config`"
"2019-02-23 06:39:10.772977","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`host_summary_by_stages`"
"2019-02-23 06:39:10.799375","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`host_summary_by_statement_latency`"
"2019-02-23 06:39:10.819082","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `sys`.`sys_config`"
"2019-02-23 06:39:10.824966","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`host_summary_by_statement_type`"
"2019-02-23 06:39:10.851043","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`innodb_buffer_stats_by_schema`"
"2019-02-23 06:39:10.877185","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`innodb_buffer_stats_by_table`"
"2019-02-23 06:39:10.903049","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`innodb_lock_waits`"
"2019-02-23 06:39:10.931158","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`io_by_thread_by_latency`"
"2019-02-23 06:39:10.957187","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`io_global_by_file_by_bytes`"
"2019-02-23 06:39:10.983084","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`io_global_by_file_by_latency`"
"2019-02-23 06:39:11.009182","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`io_global_by_wait_by_bytes`"
"2019-02-23 06:39:11.035108","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`io_global_by_wait_by_latency`"
"2019-02-23 06:39:11.061045","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`latest_file_io`"
"2019-02-23 06:39:11.087202","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`memory_by_host_by_current_bytes`"
"2019-02-23 06:39:11.114480","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`memory_by_thread_by_current_bytes`"
"2019-02-23 06:39:11.141172","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`memory_by_user_by_current_bytes`"
"2019-02-23 06:39:11.166891","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`memory_global_by_current_bytes`"
"2019-02-23 06:39:11.193117","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`memory_global_total`"
"2019-02-23 06:39:11.219050","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`metrics`"
"2019-02-23 06:39:11.245249","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`processlist`"
"2019-02-23 06:39:11.275070","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`ps_check_lost_instrumentation`"
"2019-02-23 06:39:11.301090","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_auto_increment_columns`"
"2019-02-23 06:39:11.327150","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_index_statistics`"
"2019-02-23 06:39:11.355076","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_object_overview`"
"2019-02-23 06:39:11.381206","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_redundant_indexes`"
"2019-02-23 06:39:11.407161","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_table_lock_waits`"
"2019-02-23 06:39:11.433102","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_table_statistics`"
"2019-02-23 06:39:11.460985","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_table_statistics_with_buffer`"
"2019-02-23 06:39:11.489060","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_tables_with_full_table_scans`"
"2019-02-23 06:39:11.515062","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`schema_unused_indexes`"
"2019-02-23 06:39:11.541061","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `sys`.`session`"
